timestamp,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
3251.51,2.00127,2.33454,0,0,0,0.99993,0.0117912
3251.67,1.90072,2.33712,0,0,0,0.999924,0.012344
3251.98,1.76735,2.33913,0,0,0,0.99994,0.0109184
3252.24,1.70686,2.33815,0,0,0,-0.998253,0.0590849
3252.37,1.66026,2.33126,0,0,0,-0.993763,0.111516
3252.5,1.60633,2.31543,0,0,0,-0.984947,0.172858
3252.64,1.54758,2.2925,0,0,0,-0.972,0.234981
3252.76,1.49207,2.26073,0,0,0,-0.955785,0.294066
3252.9,1.42459,2.22035,0,0,0,-0.935201,0.354116
3253.04,1.37672,2.17275,0,0,0,-0.912539,0.408989
3253.16,1.33241,2.11896,0,0,0,-0.887175,0.461433
3253.29,1.30027,2.06199,0,0,0,-0.858659,0.512547
3253.43,1.27179,1.99518,0,0,0,-0.831947,0.554856
3253.56,1.24084,1.92874,0,0,0,-0.804265,0.594271
3253.77,1.22091,1.82557,0,0,0,-0.759324,0.650712
3253.96,1.21613,1.718,0,0,0,-0.722811,0.691046
3254.25,1.22321,1.60271,0,0,0,-0.676857,0.736115
3254.5,1.24195,1.51089,0,0,0,-0.637367,0.77056
3254.81,1.25741,1.43395,0,0,0,-0.597026,0.802222
3255.14,1.27139,1.37012,0,0,0,-0.555253,0.831681
3255.6,1.30305,1.30747,0,0,0,-0.512941,0.858424
3255.86,1.36297,1.21196,0,0,0,-0.456188,0.889883
3256.06,1.42771,1.12742,0,0,0,-0.400637,0.916237
3256.26,1.50353,1.05676,0,0,0,-0.345972,0.938245
3256.47,1.58978,0.989926,0,0,0,-0.294271,0.955722
3256.73,1.71708,0.915794,0,0,0,-0.235569,0.971858
3257,1.84201,0.858775,0,0,0,-0.184993,0.98274
3257.2,1.94095,0.824291,0,0,0,-0.156074,0.987745
3257.4,2.04999,0.791153,0,0,0,-0.139389,0.990238
3257.61,2.15279,0.767317,0,0,0,-0.120145,0.992756
3257.79,2.2593,0.74224,0,0,0,-0.100591,0.994928
3258,2.3673,0.719485,0,0,0,-0.0947423,0.995502
3258.19,2.47522,0.699939,0,0,0,-0.0961731,0.995365
3258.43,2.5848,0.677574,0,0,0,-0.0941642,0.995557
3258.64,2.69889,0.657509,0,0,0,-0.0844464,0.996428
3258.84,2.80175,0.645375,0,0,0,-0.074903,0.997191
3259.04,2.91254,0.633794,0,0,0,-0.0643884,0.997925
3259.23,3.01691,0.624709,0,0,0,-0.0549613,0.998488
3259.44,3.12753,0.612893,0,0,0,-0.0502597,0.998736
3259.7,3.24835,0.60422,0,0,0,-0.0425574,0.999094
3260.03,3.37533,0.599422,0,0,0,-0.0319514,0.999489
3260.43,3.48209,0.593945,0,0,0,-0.0264862,0.999649
3261.05,3.58598,0.588645,0,0,0,-0.0480873,0.998843
